===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               131072
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               524288
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	407:	800a D	  8008 D	  8006 D	  0  	  
Set	408:	800a D	  8008 D	  8006 D	  0  	  
Set	409:	800a D	  8008 D	  8006 D	  0  	  
Set	410:	800a D	  8008 D	  8006 D	  0  	  
Set	411:	800a D	  8008 D	  8006 D	  0  	  
Set	412:	800a D	  8008 D	  8006 D	  0  	  
Set	413:	800a D	  8008 D	  8006 D	  0  	  
Set	414:	800a D	  8008 D	  8006 D	  0  	  
Set	415:	8008 D	  800a D	  8006 D	  8000  	  
Set	416:	800a D	  8008 D	  8006 D	  8000  	  
Set	417:	800a D	  8008 D	  8006 D	  0  	  
Set	418:	800a D	  8008 D	  8006 D	  0  	  
Set	419:	800a D	  8008 D	  8006 D	  0  	  
Set	420:	800a D	  8008 D	  8006 D	  0  	  
Set	421:	800a D	  8008 D	  8006 D	  0  	  
Set	422:	800a D	  8008 D	  8006 D	  0  	  
Set	423:	8008 D	  800a D	  8006 D	  0  	  
Set	424:	800a D	  8008 D	  8006 D	  0  	  
Set	425:	800a D	  8008 D	  8006 D	  0  	  
Set	426:	800a D	  8008 D	  8006 D	  0  	  
Set	427:	800a D	  8008 D	  8006 D	  0  	  
Set	428:	800a D	  8008 D	  8006 D	  0  	  
Set	429:	800a D	  8008 D	  8006 D	  0  	  
Set	430:	800a D	  8008 D	  8006 D	  0  	  
Set	431:	800a D	  8008 D	  8006 D	  0  	  
Set	432:	800a D	  8008 D	  8006 D	  0  	  
Set	433:	800a D	  8008 D	  8006 D	  0  	  
Set	434:	800a D	  8008 D	  8006 D	  0  	  
Set	435:	800a D	  8008 D	  8006 D	  0  	  
Set	436:	800a D	  8008 D	  8006 D	  0  	  
Set	437:	800a D	  8008 D	  8006 D	  0  	  
Set	438:	8008 D	  800a D	  8006 D	  0  	  
Set	439:	800a D	  8008 D	  8006 D	  0  	  
Set	440:	800a D	  8008 D	  8006 D	  0  	  
Set	441:	800a D	  8008 D	  8006 D	  0  	  
Set	442:	800a D	  8008 D	  8006 D	  0  	  
Set	443:	800a D	  8008 D	  8006 D	  8004 D	  
Set	444:	800a D	  8008 D	  8006 D	  0  	  
Set	445:	800a D	  8008 D	  8006 D	  8004 D	  
Set	446:	800a D	  8008 D	  8006 D	  0  	  
Set	447:	800a D	  8008 D	  8006 D	  0  	  
Set	448:	800a D	  8008 D	  8006 D	  0  	  
Set	449:	800a D	  8008 D	  8006 D	  0  	  
Set	450:	800a D	  8008 D	  8006 D	  0  	  
Set	451:	800a D	  8008 D	  8006 D	  0  	  
Set	452:	800a D	  8008 D	  8006 D	  8004 D	  
Set	453:	800a D	  8008 D	  8006 D	  0  	  
Set	454:	800a D	  8008 D	  8006 D	  0  	  
Set	455:	800a D	  8008 D	  8006 D	  8000  	  
Set	456:	f606 D	  800a D	  8008 D	  8006 D	  
Set	457:	f606 D	  800a D	  8008 D	  8006 D	  
Set	458:	800a D	  8008 D	  8006 D	  0  	  
Set	459:	f606 D	  800a D	  8008 D	  8006 D	  
Set	460:	800a D	  8008 D	  8006 D	  0  	  
Set	461:	800a D	  8008 D	  8006 D	  0  	  
Set	462:	800a D	  8008 D	  8006 D	  0  	  
Set	463:	800a D	  8008 D	  8006 D	  f606 D	  
Set	464:	f606 D	  800a D	  8008 D	  8006 D	  
Set	465:	800a D	  8008 D	  8006 D	  0  	  
Set	466:	800a D	  8008 D	  8006 D	  8004 D	  
Set	467:	800a D	  8008 D	  8006 D	  8004  	  
Set	468:	800a D	  8008 D	  8006 D	  0  	  
Set	469:	800a D	  8008 D	  8006 D	  0  	  
Set	470:	800a D	  8008 D	  8006 D	  8004 D	  
Set	471:	800a D	  8008 D	  8006 D	  f606 D	  
Set	472:	800a D	  8008 D	  8006 D	  0  	  
Set	473:	800a D	  8008 D	  8006 D	  8004 D	  
Set	474:	800a D	  8008 D	  8006 D	  0  	  
Set	475:	800a D	  8008 D	  8006 D	  8004 D	  
Set	476:	800a D	  8008 D	  8006 D	  f606 D	  
Set	477:	800a D	  8008 D	  8006 D	  f606 D	  
Set	478:	800a D	  8008 D	  8006 D	  f606 D	  
Set	479:	800a D	  8008 D	  8006 D	  f606 D	  
Set	480:	800a D	  8008 D	  8006 D	  0  	  
Set	481:	800a D	  8006 D	  8008 D	  0  	  
Set	482:	800a D	  8008 D	  8006 D	  0  	  
Set	483:	800a D	  8008 D	  8006 D	  0  	  
Set	484:	800a D	  8008 D	  8006 D	  8004  	  
Set	485:	800a D	  8008 D	  8006 D	  0  	  
Set	486:	800a D	  8008 D	  8006 D	  0  	  
Set	487:	800a D	  8008 D	  8006 D	  0  	  
Set	488:	800a D	  8008 D	  8006 D	  0  	  
Set	489:	800a D	  8006 D	  8008 D	  0  	  
Set	490:	800a D	  8008 D	  8006 D	  0  	  
Set	491:	800a D	  8008 D	  8006 D	  0  	  
Set	492:	800a D	  8008 D	  8006 D	  0  	  
Set	493:	800a D	  8008 D	  8006 D	  0  	  
