===== Simulator configuration =====
BLOCKSIZE:             128
L1_SIZE:               32768
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               524288
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	2001b D	  2002b D	  2002a D	  20018 D	  
Set	201:	4003  	  4013  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	202:	4003 D	  4013 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	203:	4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	204:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	205:	4004 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	206:	4004 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	207:	4003  	  4013  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	208:	4003  	  4013 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	209:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	210:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	211:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	212:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	213:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	214:	4003  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	215:	4003  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	216:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	217:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	218:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	219:	4003  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	220:	4003  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	221:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	222:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	223:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	224:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	225:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	226:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	227:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	228:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	229:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	230:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	231:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	232:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	233:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	234:	4002  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	235:	4002  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	236:	4002  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	237:	4003  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	238:	4003 D	  4004 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	239:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	240:	4003 D	  df  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	241:	4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	242:	4003 D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
