===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               131072
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	166:	1000c  	  10014 D	  10015 D	  1000f D	  108d5 D	  0  	  0  	  0  	  
Set	167:	10014 D	  10015 D	  1000f D	  108d5 D	  0  	  0  	  0  	  0  	  
Set	168:	1000d  	  10014 D	  10015 D	  1000f D	  37e  	  0  	  0  	  0  	  
Set	169:	1000d  	  10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  
Set	170:	1000d  	  10014 D	  10015 D	  1000f D	  1004e D	  108d5  	  0  	  0  	  
Set	171:	1000d  	  10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  
Set	172:	1000d  	  1000c  	  10014 D	  10015 D	  1000f D	  0  	  0  	  0  	  
Set	173:	10014 D	  10015 D	  1000f D	  10000  	  0  	  0  	  0  	  0  	  
Set	174:	10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  0  	  
Set	175:	10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  0  	  
Set	176:	1000d  	  10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  
Set	177:	10014 D	  10015 D	  1000f D	  1004e  	  108d5  	  0  	  0  	  0  	  
Set	178:	10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  0  	  
Set	179:	10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  0  	  
Set	180:	10014 D	  10015 D	  1000c D	  1000f D	  108d5  	  0  	  0  	  0  	  
Set	181:	10014 D	  10015 D	  1000c D	  1000f D	  108d5 D	  0  	  0  	  0  	  
Set	182:	10014 D	  10015 D	  1000c D	  1000f D	  108d5 D	  0  	  0  	  0  	  
Set	183:	10014 D	  10015 D	  1000c D	  1000f D	  108d5  	  0  	  0  	  0  	  
Set	184:	10014 D	  10015 D	  1000c D	  1000f D	  108d5 D	  0  	  0  	  0  	  
Set	185:	10014 D	  10015 D	  1000c D	  1000f D	  108d5  	  0  	  0  	  0  	  
Set	186:	1000d D	  10014 D	  10015 D	  1000c D	  1000f D	  108d5  	  0  	  0  	  
Set	187:	1000d D	  10014 D	  10015 D	  1000c D	  1000f D	  108d5  	  0  	  0  	  
Set	188:	1000d  	  10014 D	  10015 D	  1000c D	  1000f D	  108d5  	  1004e  	  0  	  
