===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               32768
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	115:	40055 D	  40052 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	116:	40047  	  40054 D	  40055 D	  40052 D	  40031  	  40053 D	  40030 D	  4002f D	  
Set	117:	40047  	  40031 D	  40055 D	  40054 D	  40053 D	  40052 D	  40030 D	  4002f D	  
Set	118:	40047  	  40055 D	  4003f D	  40039 D	  40054 D	  40053 D	  40052 D	  40030 D	  
Set	119:	40047  	  40035 D	  40055 D	  40054 D	  40053 D	  40052 D	  40030 D	  4002f D	  
Set	120:	40047  	  4003e D	  40055 D	  40033 D	  40054 D	  40053 D	  40052 D	  40030 D	  
Set	121:	40047  	  40054 D	  40055 D	  40053 D	  40052 D	  4001c  	  4001e  	  40030 D	  
Set	122:	40047  	  40031 D	  4001e  	  40054 D	  40055 D	  40053 D	  40052 D	  4001c  	  
Set	123:	40047  	  40055 D	  4001c  	  40052 D	  40054 D	  40053 D	  40030 D	  4002f D	  
Set	124:	40031  	  40047  	  40035 D	  40055 D	  4001c  	  40052 D	  40054 D	  40053 D	  
Set	125:	40035 D	  40055 D	  4001c  	  4001e  	  40054 D	  40053 D	  40052 D	  40030 D	  
Set	126:	40034 D	  40055 D	  4001c  	  4001e  	  40054 D	  40053 D	  40052 D	  40030 D	  
Set	127:	40032 D	  40034 D	  40055 D	  4001c  	  40054 D	  40053 D	  40052 D	  40030 D	  
===== Simulation results (raw) =====
a. number of L1 reads:                 63640
b. number of L1 read misses:           5170
c. number of L1 writes:                36360
d. number of L1 write misses:          4452
e. L1 miss rate:                       0.096220
f. number of L1 writebacks:            4942
g. number of L1 prefetches:            0
h. number of L2 reads that did not originate from L1 prefetches:	9622
i. number of L2 read misses that did not originate from L1 prefetches:	2625
j. number of L2 reads that originated from L1 prefetches:		0
k. number of L2 read misses that originated from L1 prefetches:	0
l. number of L2 writes:		            4942
m. number of L2 write misses:          0
n. L2 miss rate:                      0.272812
o. number of L2 writebacks:            1234
p. number of L2 prefetches:	          0
q. total memory traffic:             3859
