===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               16384
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               262144
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	116:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	117:	8006 D	  800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	118:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	119:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	120:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	121:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	122:	8006 D	  800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	123:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	124:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	125:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	126:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	127:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	128:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	129:	8006 D	  800a D	  8027  	  0  	  0  	  0  	  0  	  0  	  
Set	130:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	131:	8006 D	  800a D	  8027  	  0  	  0  	  0  	  0  	  0  	  
Set	132:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	133:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	134:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	135:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	136:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	137:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
